10^(-9/10)	5.06119926352518e14
10^(-89/100)	5.1357618267710556e14
10^(-22/25)	5.200924730729904e14
10^(-87/100)	5.256464408889111e14
10^(-43/50)	5.3022151536111e14
10^(-17/20)	5.3380692720414556e14
10^(-21/25)	5.363976640328414e14
10^(-83/100)	5.3799439265896375e14
10^(-41/50)	5.3860329051824656e14
10^(-81/100)	5.3823586962703575e14
10^(-4/5)	5.369087381103048e14
10^(-79/100)	5.3464332691375844e14
10^(-39/50)	5.314655825774599e14
10^(-77/100)	5.2740563095980775e14
10^(-19/25)	5.224974169217296e14
10^(-3/4)	5.1677833081802175e14
10^(-37/50)	5.102887920100365e14
10^(-73/100)	5.0307188132323775e14
10^(-18/25)	4.951729112088123e14
10^(-71/100)	4.8663902503452575e14
10^(-7/10)	4.7751879502225844e14
10^(-69/100)	4.67861828527746e14
10^(-17/25)	4.5771838623176375e14
10^(-67/100)	4.471390154366174e14
10^(-33/50)	4.3617420126910375e14
10^(-13/20)	4.248740381885673e14
10^(-16/25)	4.132879237933195e14
10^(-63/100)	4.014642765169772e14
10^(-31/50)	3.8945027841407256e14
10^(-61/100)	3.7729164385675925e14
10^(-3/5)	3.650324146060407e14
10^(-59/100)	3.527147813854385e14
10^(-29/50)	3.4037893177536675e14
10^(-57/100)	3.280629239650135e14
10^(-14/25)	3.15802585646847e14
10^(-11/20)	3.03631437117927e14
10^(-27/50)	2.915806374623936e14
10^(-53/100)	2.7967895253063512e14
10^(-13/25)	2.679527433020821e14
10^(-51/100)	2.5642597311922975e14
1/Sqrt[10]	2.45120232208957e14
10^(-49/100)	2.340547778617533e14
10^(-12/25)	2.23246590712349e14
10^(-47/100)	2.127104331579002e14
10^(-23/50)	2.0245893841990903e14
10^(-9/20)	1.9250268936924884e14
10^(-11/25)	1.8285031435401666e14
10^(-43/100)	1.735085873295241e14
10^(-21/50)	1.6448252942384288e14
10^(-41/100)	1.5577553026281738e14
10^(-2/5)	1.47389439088904e14
10^(-39/100)	1.393246890664728e14
10^(-19/50)	1.3158040574374873e14
